Time,Map,Kill,RWS,Rating,Won
07-18 02:32,Dust2,5,8.22,0.55,1
07-18 01:57,Dust2,16,12.4,0.98,0
07-16 21:34,Mirage,15,7.78,1.04,0
07-16 20:35,Dust2,23,9.51,1.4,0
07-16 20:02,Mirage,9,4.97,0.9,0
07-16 18:14,Dust2,11,8.35,0.78,0
07-16 07:13,Dust2,5,3.09,0.38,0
07-16 05:40,Dust2,15,12.47,0.99,1
07-15 21:38,Dust2,13,3.5,0.78,0
07-14 23:48,Inferno,8,2.17,0.5,0
07-14 23:19,Inferno,7,15.33,0.84,1
07-14 01:50,Inferno,8,3.5,0.58,0
07-14 01:20,Dust2,16,7.74,1,0
07-14 00:48,Mirage,11,5.56,0.74,0
07-14 00:06,Mirage,8,6.18,0.64,0
07-13 22:27,Mirage,9,8.59,0.65,1
07-13 21:57,Mirage,9,7.28,0.79,0
07-13 02:23,Ancient,7,3.46,0.65,1
07-13 02:01,Inferno,3,4.16,0.3,0
07-13 01:31,Dust2,12,7.24,0.94,0
07-12 23:51,Mirage,13,7.23,0.74,0
07-12 23:20,Dust2,4,1.45,0.41,0
07-12 22:46,Dust2,11,8.37,0.89,1
07-12 22:13,Dust2,14,4.31,0.84,0
07-12 21:44,Dust2,9,3.03,0.64,0
07-12 20:09,Dust2,8,6.45,0.59,0
07-12 01:17,Dust2,12,9.33,0.76,1
07-11 19:57,Mirage,12,8.91,0.7,0
07-10 23:38,Dust2,12,9.9,0.81,1
07-10 23:11,Dust2,8,2.65,0.55,0
07-10 12:44,Dust2,6,8.78,0.57,1
07-10 01:47,Inferno,14,10.73,0.8,0
07-10 01:25,Dust2,1,0.63,0.59,0
07-10 00:53,Dust2,18,16.35,1.5,1
07-09 22:58,Dust2,18,14.63,1.47,1
07-09 22:32,Mirage,9,7.57,0.65,0
07-08 23:44,Mirage,17,8.15,0.99,1
07-08 23:18,Mirage,6,5.01,0.45,0
07-08 22:26,Dust2,13,7.75,0.76,0
07-08 21:45,Dust2,16,13.1,1.13,1
07-08 21:00,Dust2,1,4.37,0.4,1
07-08 19:19,Dust2,11,13.11,0.79,1
07-08 18:46,Dust2,6,2.31,0.45,0
07-08 17:52,Inferno,7,1.41,0.46,0
07-07 18:45,Dust2,2,1.53,0.21,0
